Name,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
FeFeFe,174.8221014,1.07499,1.01279,0.99029,-0.89761,0.57346,3.7661,3.7524,3.6543,0.499,0.0707,-3.90215,-4.05528,-3.85963,-3.58602,-1.66908,3.24362,1.112045,1.112045,1.978701524,2.043992493,1.848092119,79.02091183,116.340378,92.03179926,-44.83705847,8,8,8
FeFeMn,169.1326424,1.09396,1.04477,1.10165,-0.96436,0.55519,3.8018,3.7884,4.69369,0.46336,0.1161,-3.84433,-4.08868,-2.82151,-3.31434,-1.70032,3.381521,1.239092,1.239092,1.936599551,2.026980789,1.971429408,79.49961762,133.333255,112.1513088,-34.99144531,8,8,7
FeFeNi,184.6572251,1.08896,1.15545,0.87245,-0.9193,0.64772,3.7532,3.8533,-1.4459,0.31086,-0.1522,-3.97208,-4.16551,-2.79217,-3.77492,-1.99844,0.968309,1.280634,0.968309,1.93784298,1.922727155,1.933645198,85.08438517,136.7525275,123.0793013,-26.61848788,8,8,10
FeFeZn,169.4949615,1.09162,1.03964,1.1853,-0.9985,0.54254,3.7917,3.7774,0.0139,0.34093,0.0765,-3.78957,-3.99574,-6.65453,-3.38226,-1.6248,3.357313,1.42512,1.42512,1.964609035,1.997688282,1.887778525,78.56595017,127.3551683,108.9036674,-40.35163457,8,8,12
FeMnFe,178.9782682,1.02838,0.91902,0.99805,-0.88194,0.57767,3.6977,3.5498,3.6276,0.31686,0.053,-3.66265,-3.74408,-3.95159,-4.01781,-1.97697,1.67678,1.101955,1.101955,2.034823101,1.946235276,1.872147596,81.99376229,113.0538269,100.5202984,-48.83003966,8,7,8
FeMnMn,166.7224333,1.02953,0.984,1.1275,-0.93616,0.57997,3.7052,3.6172,4.70112,0.25062,0.0767,-3.6725,-3.8743,-3.38486,-3.9677,-2.1749,1.727648,0.804674,0.804674,2.012010121,1.905241624,1.969442042,84.05422032,120.4521858,111.4966066,-43.74964544,8,7,7
FeMnZn,155.4905434,1.20741,1.07269,1.17937,-1.00993,0.51372,3.9294,4.67268,0.0168,0.37813,0.044,-4.60308,-2.31638,-6.83099,-3.48892,-1.45272,2.867801,0.890168,0.890168,1.866277983,2.189821441,1.897189315,88.11173452,133.6373588,108.0739413,-29.76590098,8,7,12
FeNiCo,161.1484963,1.15183,0.97386,0.96754,-0.91619,0.56178,3.8759,1.6499,2.5877,0.52536,0.1084,-4.45516,-2.6146,-2.83835,-3.42496,-1.65491,3.782256,0.986582,0.986582,1.905688809,2.057424128,1.883002472,82.90406916,128.6196784,110.235281,-36.66050897,8,10,9
FeNiCu,183.5781445,1.19668,1.05757,0.78316,-0.91157,0.73512,3.8859,1.6722,0.334,0.58232,0.349,-4.53842,-3.18592,-2.08871,-3.60179,-2.211,3.802304,0.364718,0.364718,1.861754431,1.938984566,2.020125065,91.78444606,132.5402729,118.6059348,-26.59240605,8,10,11
FeNiMn,158.3838446,1.16349,0.98159,1.08968,-0.96239,0.5341,3.8967,1.659,4.68466,0.47108,0.1028,-4.47661,-2.55564,-2.58299,-3.23519,-1.51078,3.459889,1.000763,1.000763,1.889597096,2.039541417,1.982088419,83.90788795,133.3683083,112.3984342,-32.31237541,8,10,7
FeNiZn,160.4448623,1.16206,0.97808,1.1802,-0.99978,0.52031,3.8849,1.6522,0.0084,0.363,0.0497,-4.43758,-2.57906,-6.47679,-3.30655,-1.45283,3.428753,0.968022,0.968022,1.896679767,2.041521555,1.890242346,83.26500967,129.9954613,108.9608918,-35.48726103,8,10,12
FeZnMn,153.5319202,1.19011,1.19704,1.09505,-0.99995,0.54774,3.9145,0.0191,4.68264,0.44549,0.0896,-4.54426,-5.8758,-2.72582,-3.21873,-1.44209,3.271211,0.937964,0.937964,1.860747718,2.127461571,1.983600392,85.44614316,137.3936895,110.8490234,-28.05379632,8,12,7
MnCoCo,167.1057563,0.95393,0.9707,0.95035,-0.86094,0.56337,3.6065,2.6515,2.5595,0.37124,0.0584,-3.32127,-2.88009,-2.93156,-3.23972,-1.84122,2.151559,1.287904,1.287904,1.898687823,2.253597359,1.824341753,78.77108978,127.8475334,97.38175046,-36.29040414,7,9,9
MnCoCu,167.9852989,0.96998,0.78917,0.82311,-0.78803,0.60551,3.6082,1.353,0.3797,0.2601,0.0576,-3.44707,-2.33254,-2.31106,-3.68297,-1.80054,1.961824,0.403772,0.403772,1.920351014,1.87095303,1.95721806,86.9561474,120.9282576,108.4997093,-41.20625305,7,9,11
