Name,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
NiNiMn,172.1020832,1.03124,1.05251,1.13535,-1.03768,0.78176,1.6457,1.6607,4.71907,0.42183,0.433,-2.4605,-2.62351,-2.68284,-3.18281,-2.18105,3.471526,1.255913,1.255913,1.935716561,1.924519957,1.951203211,92.98314555,139.5698104,124.0141641,-12.54700858,10,10,7
NiNiNi,155.5798104,1.03032,1.0735,0.97943,-0.9315,0.7953,1.6406,1.6629,1.5738,0.58209,0.4429,-2.31156,-2.51972,-2.56204,-3.44648,-1.95737,3.882227,0.896934,0.896934,1.945099073,1.932051887,1.846905689,93.86944384,138.7764737,125.4977052,-9.510399079,10,10,10
NiZnCo,157.7222186,1.05069,1.22509,0.98699,-1.02415,0.77752,1.6545,-0.0077,2.5948,0.40685,0.4095,-2.49026,-6.00606,-2.94715,-3.22754,-2.1836,3.775591,1.012951,1.012951,1.950762589,1.968399121,1.832968781,89.79705915,134.8800308,115.9538565,-27.65251797,10,12,9
NiZnCu,171.0886401,1.02293,1.23179,0.90907,-1.0045,0.8045,1.5481,-0.0023,-0.4839,-0.10357,0.4523,-2.31489,-5.72471,-2.58194,-3.04265,-1.9218,0.841492,1.318666,0.841492,1.910234046,1.954528108,1.886801768,92.3171386,141.8110848,121.4801752,-13.44424647,10,12,11
NiZnFe,172.7269522,1.04526,1.22298,1.04788,-1.01944,0.71972,1.6511,-0.0058,3.6729,0.41002,0.359,-2.60378,-6.24714,-3.81232,-3.43829,-2.23229,3.540432,0.920748,0.920748,1.975964617,1.977460555,1.833137456,88.51522601,132.7996671,115.3055696,-30.64836823,10,12,8
NiZnMn,166.9245968,1.04087,1.22925,1.13249,-1.11934,0.79232,1.6516,0.0007,4.71107,0.28648,0.4469,-2.51767,-5.96984,-2.68793,-3.11376,-2.15125,3.354509,1.222306,1.222306,1.944206972,1.942863871,1.936593917,90.54894082,143.1423066,124.2470553,-9.552912438,10,12,7
NiZnNi,144.2376495,1.02897,1.22315,0.99569,-1.0508,0.78934,1.6374,-0.0069,1.6071,0.35318,0.4277,-2.23256,-5.62496,-2.80514,-2.81111,-1.99182,3.663753,1.151924,1.151924,1.941937963,1.949223396,1.879681271,90.0021071,136.2300742,122.3552975,-22.90234555,10,12,10
NiZnZn,164.5406426,1.04688,1.22928,1.20644,-1.16432,0.77708,1.6432,-0.0058,0.0021,0.15644,0.4215,-2.20803,-5.57624,-6.05815,-2.66246,-1.92918,3.503293,1.32152,1.32152,1.93187668,1.938985714,1.875129815,90.83330541,140.5833719,117.8572083,-20.29451402,10,12,12
ZnCoCu,177.4686056,1.21249,1.11062,0.81427,-0.92269,0.83289,0.0015,2.7209,0.3683,0.57753,0.4841,-5.95026,-3.05891,-1.97619,-3.60913,-2.16805,3.99138,0.945623,0.945623,2.059779471,1.789515287,1.959060099,92.30989415,140.2069989,127.0241346,-4.952442535,12,9,11
ZnCoMn,168.4263829,1.20143,1.06262,1.12134,-1.11007,0.785,0.0173,2.6602,4.69043,0.28543,-0.4136,-6.08841,-2.77717,-2.76496,-3.15811,-2.5261,0.839172,1.509806,0.839172,1.977085196,1.91018303,1.931556724,88.88249633,135.8636282,123.6024355,-23.82936622,12,9,7
ZnCoZn,164.1678216,1.18787,1.03751,1.2289,-1.1492,0.83368,0.0007,2.6447,0.0027,0.15661,0.4563,-6.21247,-2.77119,-6.44624,-3.17305,-2.44456,3.748331,0.868184,0.868184,1.971372566,1.932941721,1.8937263,86.80840595,142.1652762,109.1791599,-25.57920577,12,9,12
ZnCuCo,159.7937382,1.20343,0.90157,1.00253,-0.95309,0.76137,-0.0041,0.5216,2.6227,0.44195,0.4179,-5.79724,-2.44276,-2.97639,-3.03959,-2.32044,3.87222,1.004729,1.004729,2.007313401,1.961242976,1.823073507,84.59882766,122.590448,106.9814753,-41.66407801,12,11,9
ZnCuCu,149.766953,1.19855,0.93248,0.90514,-0.93477,0.76987,-0.0104,0.5733,0.5172,0.48077,0.4282,-5.45497,-2.47714,-2.56471,-2.64394,-2.09023,3.886655,0.921341,0.921341,1.995052174,1.948396889,1.887807268,86.00299924,122.8591915,111.0429432,-40.65077721,12,11,11
ZnCuFe,172.4932827,1.19923,0.94692,1.04651,-0.96363,0.69713,0.0102,-0.5657,3.6597,0.17238,0.35,-6.03439,-3.07223,-3.81779,-3.37483,-2.29264,0.890278,0.981899,0.890278,2.030253867,1.96103531,1.819279906,85.09864987,121.6374682,112.2037113,-42.45144532,12,11,8
ZnCuMn,144.9937936,1.19872,0.92492,1.14016,-1.05152,0.78476,0.0127,-0.5305,4.61398,-0.02885,0.4433,-5.80275,-2.47969,-2.63541,-2.93225,-2.39211,1.075469,1.340445,1.075469,1.975356058,1.940045032,1.892693292,86.74631158,129.8155466,119.257999,-33.54697185,12,11,7
ZnCuNi,156.5039865,1.19636,0.92549,1.00251,-0.994,0.80686,-0.0094,0.5558,1.6093,0.37834,0.4495,-5.51512,-2.42081,-2.43797,-2.74117,-2.09729,3.940727,1.356175,1.356175,1.995569937,1.957956475,1.82706187,83.9211746,119.938077,115.677893,-44.2354363,12,11,10
ZnCuZn,152.2322976,1.20829,0.93629,1.20064,-1.11082,0.78434,-0.0111,0.5731,0.0043,0.16396,0.4348,-5.32689,-2.44345,-5.75693,-2.37215,-2.06732,3.766948,1.349221,1.349221,1.967031189,1.946164968,1.8666024,85.8083453,122.3000653,108.3032326,-40.96710547,12,11,12
ZnFeFe,179.7212847,1.18344,0.9443,0.99949,-0.92372,0.57025,0.0138,2.7087,3.5973,0.25108,0.0262,-6.56487,-3.79527,-3.81594,-4.15341,-1.60097,0.772475,0.533856,0.533856,2.031977608,1.859051818,1.894028959,88.85305013,111.3085217,112.674669,-48.3615625,12,8,8
ZnFeZn,178.5634392,1.18903,0.95441,1.18855,-0.99718,0.55575,0.0109,2.7044,0.0048,0.11337,-0.0005,-6.18279,-3.7102,-6.91186,-3.76072,-1.42091,0.883155,0.899608,0.883155,2.013537744,1.839966651,1.917526809,90.31043886,112.2700523,114.7203631,-46.66499115,12,8,12
ZnMnCo,150.386571,1.20515,1.18573,0.98288,-1.06346,0.78581,0.0163,4.73895,2.5906,0.35872,0.4428,-6.05851,-2.55891,-3.15495,-3.33723,-2.38088,3.287724,1.034005,1.034005,1.994042499,2.011042405,1.836288658,90.29058743,137.3828598,123.6550544,-20.2544755,12,7,9
ZnMnCu,179.7291612,1.19633,1.03145,0.65746,-0.89884,0.76685,0.0357,3.7033,0.0493,0.05473,0.465,-6.50699,-3.25981,-1.51511,-3.34836,-2.81468,1.343322,0.40021,0.40021,2.017983282,1.819929634,2.097459088,91.37676293,126.4319023,122.8101596,-32.28344029,12,7,11
ZnMnFe,178.1932436,1.18995,1.07458,1.07064,-0.97217,0.67685,0.0276,4.66479,3.7243,0.43614,0.3529,-6.2788,-2.31123,-4.12399,-3.40513,-2.56029,2.904336,1.10468,1.10468,2.02738905,2.202845837,1.797134111,82.53403891,130.8061161,113.6085243,-35.50987766,12,7,8
ZnMnMn,157.5463101,1.18505,1.03146,1.08434,-0.8918,0.54014,0.0451,3.7529,4.64093,0.06674,0.1034,-6.39419,-3.68131,-3.04763,-3.84144,-1.50829,0.654406,1.574571,0.654406,2.073491516,1.83172506,1.986295476,87.05371614,126.4551751,118.4608683,-37.46979923,12,7,7
ZnMnNi,159.8094912,1.20178,1.07724,0.84078,-0.97849,0.69695,0.0284,3.7456,1.3466,0.17814,0.2995,-5.7301,-2.8836,-1.95934,-2.87281,-2.05581,2.431782,0.909026,0.909026,2.0010286,1.902559595,1.923419308,91.26663636,123.0863939,118.1349739,-36.63701045,12,7,10
ZnMnZn,157.9978961,1.18955,1.15698,1.22559,-1.18871,0.83848,0.02,4.71598,0.0116,0.111,-0.4575,-6.00965,-2.47742,-6.36445,-2.9677,-2.37051,0.883485,3.53699,0.883485,1.958664352,2.005779859,1.877896163,88.52914494,143.0992791,112.2213239,-22.50241064,12,7,12
ZnNiCo,153.4032707,1.20189,1.04866,1.00084,-1.01561,0.77538,-0.002,1.6251,2.6084,0.41207,0.4246,-5.74058,-2.45306,-2.9438,-3.13927,-2.24262,3.890881,1.0581,1.0581,1.995350156,1.922508883,1.83454097,89.40951882,130.4033732,121.2497293,-30.55517638,12,10,9
ZnNiCu,163.5219485,1.20502,1.05472,0.91059,-0.98538,0.79647,-0.0028,1.6607,0.5143,0.45718,0.4431,-5.44785,-2.40522,-2.54621,-2.83843,-2.01728,3.923753,0.918368,0.918368,1.993621564,1.893160779,1.881411835,90.82267896,131.2343198,121.9972062,-28.1597263,12,10,11
ZnNiMn,168.8858454,1.19639,1.07409,1.11951,-1.11233,0.78519,0.0094,1.6673,4.6867,0.27573,-0.4174,-5.82852,-2.72246,-2.63004,-2.94981,-2.40546,0.82229,2.045112,0.82229,1.967342854,1.921583664,1.926751411,90.18711386,136.0657438,125.3914969,-20.57368316,12,10,7
ZnZnCu,155.7347149,1.20119,1.25594,0.93274,-1.09778,0.85985,-0.0027,-0.0026,0.5152,0.31383,0.5059,-5.95513,-6.13323,-2.90725,-3.34218,-2.13284,3.694708,0.465797,0.465797,2.022454407,1.942502812,1.880385945,89.93637998,134.2316341,131.459948,16.55094569,12,12,11
ZnZnNi,148.6143584,1.20959,1.25206,0.99819,-1.09494,0.81501,-0.0014,-0.0011,1.5856,0.32027,0.4748,-5.72366,-5.87972,-2.607,-3.1369,-2.03779,3.764405,0.898518,0.898518,2.010081811,1.949631057,1.839117454,89.48172352,142.3332736,127.3708459,-6.408939203,12,12,10
